"","id","kjonn","alder","utdanning","relig_denom","aksept_homofili","aksept_abort","aksept_aktiv_dodshjelp","ant_barn"
"369","resp369","mann",1955,"lower secondary or second stage of basic education","protestant",5,5,1,0
"370","resp370","mann",1962,"lower secondary or second stage of basic education","protestant",1,5,5,3
"371","resp371","mann",1954,"first stage of tertiary education","free church/ non-conformist/ evangelical",10,6,2,5
"372","resp372","mann",1959,"lower secondary or second stage of basic education","protestant",10,10,10,3
"373","resp373","mann",1957,"(upper) secondary education","protestant",10,10,5,3
"374","resp374","mann",1961,"lower secondary or second stage of basic education","protestant",6,4,4,2
"375","resp375","mann",1958,"first stage of tertiary education","protestant",9,10,9,0
"376","resp376","mann",1961,"lower secondary or second stage of basic education","protestant",1,1,1,3
"377","resp377","mann",1954,"first stage of tertiary education","protestant",5,5,4,4
"378","resp378","mann",1959,"first stage of tertiary education","protestant",5,5,10,2
"379","resp379","mann",1959,"first stage of tertiary education","ingen religion",10,10,8,3
"380","resp380","mann",1963,"(upper) secondary education","protestant",10,10,8,2
"381","resp381","mann",1946,"lower secondary or second stage of basic education","protestant",1,5,5,2
"382","resp382","mann",1948,"lower secondary or second stage of basic education","protestant",1,8,2,2
"383","resp383","mann",1952,"lower secondary or second stage of basic education","protestant",5,3,5,1
"384","resp384","mann",1951,"(upper) secondary education","protestant",10,9,4,0
"385","resp385","mann",1951,"lower secondary or second stage of basic education","protestant",4,7,7,2
"386","resp386","mann",1948,"first stage of tertiary education","protestant",10,10,5,2
"387","resp387","mann",1950,"first stage of tertiary education","protestant",10,9,8,2
"388","resp388","mann",1944,"(upper) secondary education","protestant",5,5,5,2
"389","resp389","mann",1953,"first stage of tertiary education","roman catholic",5,5,5,3
"390","resp390","mann",1948,"first stage of tertiary education","protestant",10,4,8,3
"391","resp391","mann",1947,"post-secondary non-tertiary education","protestant",10,9,6,2
"392","resp392","mann",1946,"lower secondary or second stage of basic education","protestant",4,8,6,1
"393","resp393","mann",1945,"first stage of tertiary education","ingen religion",10,9,8,4
"394","resp394","mann",1944,"first stage of tertiary education","protestant",10,10,9,2
"395","resp395","mann",1944,"(upper) secondary education","ingen religion",10,10,10,2
"396","resp396","mann",1947,"first stage of tertiary education","ingen religion",5,5,7,2
"397","resp397","mann",1950,"first stage of tertiary education","protestant",10,7,9,3
"398","resp398","mann",1950,"(upper) secondary education","ingen religion",5,7,7,1
"399","resp399","mann",1946,"first stage of tertiary education","protestant",10,5,3,3
"400","resp400","mann",1952,"(upper) secondary education","protestant",10,10,8,2
"401","resp401","mann",1947,"lower secondary or second stage of basic education","protestant",5,2,NA,0
"402","resp402","mann",1952,"(upper) secondary education","protestant",5,9,9,1
"403","resp403","mann",1949,"lower secondary or second stage of basic education","protestant",2,5,8,1
"404","resp404","mann",1946,"(upper) secondary education","protestant",6,6,5,3
"405","resp405","mann",1947,"post-secondary non-tertiary education","protestant",5,5,7,2
"406","resp406","mann",1951,"first stage of tertiary education","ingen religion",10,10,1,2
"407","resp407","mann",1953,"lower secondary or second stage of basic education","protestant",10,10,9,1
"408","resp408","mann",1951,"first stage of tertiary education","protestant",10,8,1,3
"409","resp409","mann",1952,"lower secondary or second stage of basic education","ingen religion",10,10,5,3
"410","resp410","mann",1944,"post-secondary non-tertiary education","ingen religion",5,7,5,2
"411","resp411","mann",1945,"(upper) secondary education","protestant",10,10,5,2
"412","resp412","mann",1952,"first stage of tertiary education","ingen religion",10,7,7,2
"413","resp413","mann",1948,"lower secondary or second stage of basic education","protestant",10,5,10,3
"414","resp414","mann",1945,"lower secondary or second stage of basic education","protestant",1,5,8,2
"415","resp415","mann",1950,"lower secondary or second stage of basic education","ingen religion",7,1,10,3
"416","resp416","mann",1951,"(upper) secondary education","protestant",1,4,3,2
"417","resp417","mann",1953,"(upper) secondary education","protestant",10,5,7,2
"418","resp418","mann",1946,"primary education or first stage of basic education","protestant",5,5,8,3
"419","resp419","mann",1944,"first stage of tertiary education","protestant",1,10,6,3
"420","resp420","mann",1952,"first stage of tertiary education","protestant",1,1,8,1
"421","resp421","mann",1944,"first stage of tertiary education","protestant",6,7,8,2
"422","resp422","mann",1951,"post-secondary non-tertiary education","protestant",5,5,9,0
"423","resp423","mann",1945,"(upper) secondary education","roman catholic",5,7,3,0
"424","resp424","mann",1953,"first stage of tertiary education","protestant",7,5,7,2
"425","resp425","mann",1945,"first stage of tertiary education","ingen religion",10,8,7,2
"426","resp426","mann",1953,"first stage of tertiary education","protestant",3,5,2,2
"427","resp427","mann",1946,"lower secondary or second stage of basic education","protestant",3,6,2,1
"428","resp428","mann",1951,"first stage of tertiary education","ingen religion",10,10,2,2
"429","resp429","mann",1953,"first stage of tertiary education","protestant",10,6,1,4
"430","resp430","mann",1949,"first stage of tertiary education","protestant",10,8,10,2
"431","resp431","mann",1953,"post-secondary non-tertiary education","protestant",8,8,2,2
"432","resp432","mann",1951,"primary education or first stage of basic education","protestant",5,8,10,4
"433","resp433","mann",1949,"first stage of tertiary education","protestant",2,1,9,3
"434","resp434","mann",1946,"(upper) secondary education","protestant",3,5,1,3
"435","resp435","mann",1952,"lower secondary or second stage of basic education","protestant",1,7,6,2
"436","resp436","mann",1944,"lower secondary or second stage of basic education","free church/ non-conformist/ evangelical",4,1,1,4
"437","resp437","mann",1951,"second stage of tertiary education","ingen religion",10,10,10,1
"438","resp438","mann",1946,"first stage of tertiary education","ingen religion",10,8,8,2
"439","resp439","mann",1945,"first stage of tertiary education","protestant",5,8,9,1
"440","resp440","mann",1946,"(upper) secondary education","ingen religion",10,5,4,1
"441","resp441","mann",1944,"post-secondary non-tertiary education","protestant",5,5,10,2
"442","resp442","mann",1946,"first stage of tertiary education","protestant",7,6,5,2
"443","resp443","mann",1947,"first stage of tertiary education","ingen religion",10,10,8,2
"444","resp444","mann",1947,"(upper) secondary education","protestant",5,5,2,5
"445","resp445","mann",1947,"lower secondary or second stage of basic education","free church/ non-conformist/ evangelical",1,4,3,1
"446","resp446","mann",1951,"primary education or first stage of basic education","protestant",1,5,9,3
"447","resp447","mann",1945,"primary education or first stage of basic education","protestant",1,7,7,2
"448","resp448","mann",1947,"first stage of tertiary education","protestant",5,5,8,2
"449","resp449","mann",1953,"post-secondary non-tertiary education","free church/ non-conformist/ evangelical",1,7,7,3
"450","resp450","mann",1950,"(upper) secondary education","ingen religion",9,8,1,3
"451","resp451","mann",1952,"lower secondary or second stage of basic education","protestant",4,7,3,3
"452","resp452","mann",1944,"first stage of tertiary education","protestant",10,7,8,2
"453","resp453","mann",1953,"first stage of tertiary education","ingen religion",6,7,9,4
"454","resp454","mann",1948,"(upper) secondary education","protestant",8,5,8,2
"455","resp455","mann",1953,"lower secondary or second stage of basic education","protestant",7,8,8,3
"456","resp456","mann",1953,"post-secondary non-tertiary education","protestant",1,5,4,2
"457","resp457","mann",1945,"first stage of tertiary education","protestant",9,9,7,3
"458","resp458","mann",1945,"first stage of tertiary education","protestant",10,9,8,2
"459","resp459","mann",1952,"lower secondary or second stage of basic education","protestant",5,5,9,1
"460","resp460","mann",1950,"first stage of tertiary education","protestant",8,5,5,3
"461","resp461","mann",1950,"(upper) secondary education","protestant",5,2,6,2
"462","resp462","mann",1953,"lower secondary or second stage of basic education","protestant",6,8,2,1
"463","resp463","mann",1948,"lower secondary or second stage of basic education","protestant",5,8,5,3
"464","resp464","mann",1945,"post-secondary non-tertiary education","protestant",1,5,5,2
"465","resp465","mann",1948,"lower secondary or second stage of basic education","protestant",6,5,2,2
"466","resp466","mann",1952,"(upper) secondary education","ingen religion",6,6,5,1
"467","resp467","mann",1951,"first stage of tertiary education","protestant",10,6,1,2
"468","resp468","mann",1949,"lower secondary or second stage of basic education","protestant",10,1,10,1
"469","resp469","mann",1948,"(upper) secondary education","roman catholic",4,4,7,2
"470","resp470","mann",1947,"first stage of tertiary education","protestant",5,6,2,4
"471","resp471","mann",1948,"post-secondary non-tertiary education","protestant",5,5,8,2
"472","resp472","mann",1945,"first stage of tertiary education","protestant",9,9,7,2
"473","resp473","mann",1948,"primary education or first stage of basic education","protestant",10,5,10,3
"474","resp474","mann",1944,"lower secondary or second stage of basic education","protestant",7,7,5,2
"475","resp475","mann",1953,"lower secondary or second stage of basic education","protestant",5,5,3,2
"476","resp476","mann",1945,"lower secondary or second stage of basic education","protestant",5,5,1,2
"477","resp477","mann",1944,"lower secondary or second stage of basic education","roman catholic",10,7,4,2
"478","resp478","mann",1947,"(upper) secondary education","protestant",5,2,7,2
"479","resp479","mann",1949,"lower secondary or second stage of basic education","protestant",9,9,10,2
"480","resp480","mann",1950,"first stage of tertiary education","ingen religion",5,6,3,2
"481","resp481","mann",1948,"lower secondary or second stage of basic education","protestant",NA,8,8,4
"482","resp482","mann",1947,"first stage of tertiary education","ingen religion",9,10,5,2
"483","resp483","mann",1947,"(upper) secondary education","protestant",5,5,8,2
"484","resp484","mann",1948,"(upper) secondary education","protestant",2,5,4,3
"485","resp485","mann",1945,"lower secondary or second stage of basic education","protestant",10,10,10,2
"486","resp486","mann",1951,"(upper) secondary education","protestant",8,5,2,3
"487","resp487","mann",1953,"(upper) secondary education","ingen religion",5,6,2,2
"488","resp488","mann",1944,"lower secondary or second stage of basic education","ingen religion",1,1,10,1
"489","resp489","mann",1949,"lower secondary or second stage of basic education","protestant",2,2,6,1
"490","resp490","mann",1953,"first stage of tertiary education","protestant",10,9,7,2
"491","resp491","mann",1950,"first stage of tertiary education","ingen religion",10,8,6,2
"492","resp492","mann",1946,"lower secondary or second stage of basic education","protestant",1,6,10,2
"493","resp493","mann",1934,"first stage of tertiary education","protestant",10,3,8,5
"494","resp494","mann",1943,"first stage of tertiary education","protestant",10,10,10,1
"495","resp495","mann",1943,"(upper) secondary education","protestant",1,5,8,2
"496","resp496","mann",1939,"first stage of tertiary education","protestant",8,5,8,3
"497","resp497","mann",1936,"lower secondary or second stage of basic education","protestant",10,5,5,2
"498","resp498","mann",1939,"lower secondary or second stage of basic education","protestant",5,5,8,3
"499","resp499","mann",1943,"lower secondary or second stage of basic education","protestant",1,5,8,2
"500","resp500","mann",1942,"lower secondary or second stage of basic education","protestant",1,1,10,2
"501","resp501","mann",1937,"(upper) secondary education","protestant",10,8,8,2
"502","resp502","mann",1942,"first stage of tertiary education","ingen religion",6,3,10,2
"503","resp503","mann",1936,"first stage of tertiary education","protestant",8,8,8,4
"504","resp504","mann",1943,"first stage of tertiary education","ingen religion",10,10,7,2
"505","resp505","mann",1937,"first stage of tertiary education","protestant",10,10,10,3
"506","resp506","mann",1942,"lower secondary or second stage of basic education","protestant",3,8,10,2
"507","resp507","mann",1942,"post-secondary non-tertiary education","protestant",1,10,10,2
"508","resp508","mann",1936,"first stage of tertiary education","protestant",1,7,6,3
"509","resp509","mann",1941,"lower secondary or second stage of basic education","protestant",1,5,NA,3
"510","resp510","mann",1937,"lower secondary or second stage of basic education","protestant",3,3,5,3
"511","resp511","mann",1943,"(upper) secondary education","protestant",3,8,3,2
"512","resp512","mann",1937,"lower secondary or second stage of basic education","protestant",5,5,1,2
"513","resp513","mann",1934,"lower secondary or second stage of basic education","protestant",1,1,9,2
"514","resp514","mann",1941,"first stage of tertiary education","protestant",8,8,6,2
"515","resp515","mann",1938,"(upper) secondary education","protestant",1,9,8,0
"516","resp516","mann",1940,"post-secondary non-tertiary education","protestant",5,10,5,4
"517","resp517","mann",1935,"post-secondary non-tertiary education","protestant",3,8,1,4
"518","resp518","mann",1935,"(upper) secondary education","protestant",3,6,8,3
"519","resp519","mann",1935,"lower secondary or second stage of basic education","protestant",2,5,6,1
"520","resp520","mann",1935,"lower secondary or second stage of basic education","protestant",5,9,8,3
"521","resp521","mann",1938,"(upper) secondary education","protestant",4,5,1,3
"522","resp522","mann",1943,"post-secondary non-tertiary education","ingen religion",4,7,1,2
"523","resp523","mann",1939,"primary education or first stage of basic education","protestant",5,3,8,2
"524","resp524","mann",1942,"lower secondary or second stage of basic education","protestant",5,7,6,3
"525","resp525","mann",1935,"lower secondary or second stage of basic education","protestant",1,5,4,5
"526","resp526","mann",1943,"(upper) secondary education","protestant",1,4,5,2
"527","resp527","mann",1938,"lower secondary or second stage of basic education","protestant",8,8,10,2
"528","resp528","mann",1936,"lower secondary or second stage of basic education","protestant",1,5,5,3
"529","resp529","mann",1939,"post-secondary non-tertiary education","roman catholic",5,2,6,3
"530","resp530","mann",1939,"lower secondary or second stage of basic education","protestant",1,7,5,3
"531","resp531","mann",1940,"(upper) secondary education","protestant",1,2,1,4
"532","resp532","mann",1934,"lower secondary or second stage of basic education","protestant",5,5,7,3
"533","resp533","mann",1935,"post-secondary non-tertiary education","roman catholic",5,3,2,3
"534","resp534","mann",1935,"lower secondary or second stage of basic education","protestant",9,8,8,3
"535","resp535","mann",1936,"first stage of tertiary education","protestant",8,8,10,3
"536","resp536","mann",1939,"lower secondary or second stage of basic education","ingen religion",1,1,10,1
"537","resp537","mann",1942,"primary education or first stage of basic education","ingen religion",2,1,10,2
"538","resp538","mann",1942,"second stage of tertiary education","ingen religion",7,8,2,2
"539","resp539","mann",1937,"lower secondary or second stage of basic education","protestant",3,4,4,3
"540","resp540","mann",1941,"primary education or first stage of basic education","protestant",1,1,5,4
"541","resp541","mann",1937,"lower secondary or second stage of basic education","protestant",5,5,7,5
"542","resp542","mann",1937,"lower secondary or second stage of basic education","protestant",5,5,1,0
"543","resp543","mann",1936,"(upper) secondary education","protestant",5,5,1,0
"544","resp544","mann",1943,"post-secondary non-tertiary education","protestant",NA,NA,5,0
"545","resp545","mann",1933,"first stage of tertiary education","protestant",2,10,8,4
"546","resp546","mann",1932,"lower secondary or second stage of basic education","ingen religion",7,5,1,3
"547","resp547","mann",1933,"post-secondary non-tertiary education","protestant",5,3,10,1
"548","resp548","mann",1932,"(upper) secondary education","protestant",5,6,3,4
"549","resp549","mann",1929,"lower secondary or second stage of basic education","ingen religion",2,10,1,2
"550","resp550","mann",1933,"post-secondary non-tertiary education","protestant",1,1,7,3
"551","resp551","mann",1932,"lower secondary or second stage of basic education","protestant",NA,8,7,0
"552","resp552","mann",1930,"post-secondary non-tertiary education","protestant",10,10,3,3
"553","resp553","mann",1929,"(upper) secondary education","protestant",7,7,7,2
"554","resp554","mann",1933,"first stage of tertiary education","protestant",5,5,8,3
"555","resp555","mann",1932,"(upper) secondary education","protestant",8,5,6,2
"556","resp556","mann",1930,"primary education or first stage of basic education","Other",1,1,1,5
"557","resp557","mann",1930,"(upper) secondary education","protestant",5,4,1,2
"558","resp558","mann",1932,"first stage of tertiary education","protestant",1,1,3,2
"559","resp559","mann",1932,"(upper) secondary education","protestant",5,3,2,4
"560","resp560","mann",1933,"lower secondary or second stage of basic education","protestant",5,5,5,4
"561","resp561","mann",1931,"lower secondary or second stage of basic education","protestant",1,1,4,7
"562","resp562","mann",1929,"lower secondary or second stage of basic education","protestant",1,1,1,2
"563","resp563","dame",1985,"(upper) secondary education","ingen religion",10,9,3,0
"564","resp564","dame",1989,"(upper) secondary education","protestant",10,10,7,0
"565","resp565","dame",1988,"lower secondary or second stage of basic education","ingen religion",10,10,8,0
"566","resp566","dame",1990,"(upper) secondary education","ingen religion",9,10,8,0
"567","resp567","dame",1989,"(upper) secondary education","protestant",10,10,10,0
"568","resp568","dame",1986,"(upper) secondary education","ingen religion",10,8,8,0
"569","resp569","dame",1986,"post-secondary non-tertiary education","protestant",9,1,9,1
"570","resp570","dame",1990,"lower secondary or second stage of basic education","ingen religion",10,10,6,0
"571","resp571","dame",1987,"lower secondary or second stage of basic education","protestant",6,2,8,0
"572","resp572","dame",1984,"(upper) secondary education","ingen religion",10,10,10,2
"573","resp573","dame",1990,"lower secondary or second stage of basic education","protestant",9,6,9,0
"574","resp574","dame",1987,"(upper) secondary education","protestant",10,10,7,0
"575","resp575","dame",1985,"first stage of tertiary education","ingen religion",10,6,3,0
"576","resp576","dame",1985,"lower secondary or second stage of basic education","protestant",10,7,9,0
"577","resp577","dame",1985,"(upper) secondary education","protestant",10,10,9,1
"578","resp578","dame",1984,"(upper) secondary education","protestant",10,10,9,0
"579","resp579","dame",1987,"(upper) secondary education","protestant",10,9,4,0
"580","resp580","dame",1989,"lower secondary or second stage of basic education","ingen religion",10,8,2,0
"581","resp581","dame",1990,"lower secondary or second stage of basic education","Other",10,8,5,0
"582","resp582","dame",1989,"(upper) secondary education","protestant",8,8,5,0
"583","resp583","dame",1989,"lower secondary or second stage of basic education","ingen religion",10,8,7,0
"584","resp584","dame",1990,"lower secondary or second stage of basic education","ingen religion",9,5,4,0
"585","resp585","dame",1989,"lower secondary or second stage of basic education","protestant",10,10,5,0
"586","resp586","dame",1986,"(upper) secondary education","protestant",5,5,7,0
"587","resp587","dame",1984,"(upper) secondary education","ingen religion",1,10,5,0
"588","resp588","dame",1985,"first stage of tertiary education","protestant",10,10,7,0
"589","resp589","dame",1990,"(upper) secondary education","ingen religion",10,9,8,0
"590","resp590","dame",1989,"lower secondary or second stage of basic education","ingen religion",10,5,1,1
"591","resp591","dame",1985,"first stage of tertiary education","protestant",10,10,3,0
"592","resp592","dame",1988,"(upper) secondary education","ingen religion",9,3,8,0
"593","resp593","dame",1984,"first stage of tertiary education","protestant",10,10,7,0
"594","resp594","dame",1985,"(upper) secondary education","ingen religion",9,2,4,0
"595","resp595","dame",1985,"first stage of tertiary education","ingen religion",2,2,8,0
"596","resp596","dame",1988,"first stage of tertiary education","Other",1,1,5,0
"597","resp597","dame",1988,"(upper) secondary education","protestant",4,1,8,0
"598","resp598","dame",1989,"(upper) secondary education","protestant",2,8,7,0
"599","resp599","dame",1986,"(upper) secondary education","ingen religion",10,10,10,0
"600","resp600","dame",1989,"(upper) secondary education","protestant",8,5,5,0
"601","resp601","dame",1988,"lower secondary or second stage of basic education","protestant",4,8,7,1
"602","resp602","dame",1986,"first stage of tertiary education","roman catholic",5,2,5,0
"603","resp603","dame",1988,"(upper) secondary education","ingen religion",9,5,2,0
"604","resp604","dame",1984,"first stage of tertiary education","protestant",5,7,5,0
"605","resp605","dame",1985,"first stage of tertiary education","protestant",9,6,7,0
"606","resp606","dame",1987,"(upper) secondary education","protestant",7,4,6,1
"607","resp607","dame",1987,"(upper) secondary education","protestant",10,5,7,1
"608","resp608","dame",1990,"lower secondary or second stage of basic education","protestant",10,9,6,0
"609","resp609","dame",1986,"first stage of tertiary education","protestant",10,8,6,0
"610","resp610","dame",1989,"lower secondary or second stage of basic education","protestant",8,1,4,0
"611","resp611","dame",1984,"(upper) secondary education","protestant",1,3,8,0
"612","resp612","dame",1988,"(upper) secondary education","protestant",5,5,5,0
"613","resp613","dame",1990,"(upper) secondary education","protestant",7,4,3,0
"614","resp614","dame",1990,"(upper) secondary education","protestant",6,8,6,0
"615","resp615","dame",1990,"(upper) secondary education","ingen religion",7,6,6,0
"616","resp616","dame",1984,"(upper) secondary education","ingen religion",10,7,7,1
"617","resp617","dame",1986,"post-secondary non-tertiary education","protestant",10,10,5,0
"618","resp618","dame",1985,"lower secondary or second stage of basic education","protestant",10,8,5,0
"619","resp619","dame",1985,"first stage of tertiary education","protestant",9,5,1,0
"620","resp620","dame",1985,"(upper) secondary education","protestant",6,3,7,1
"621","resp621","dame",1987,"(upper) secondary education","ingen religion",10,10,8,0
"622","resp622","dame",1989,"lower secondary or second stage of basic education","protestant",10,5,5,0
"623","resp623","dame",1984,"lower secondary or second stage of basic education","ingen religion",10,8,8,1
"624","resp624","dame",1990,"lower secondary or second stage of basic education","ingen religion",4,1,1,0
"625","resp625","dame",1988,"(upper) secondary education","protestant",10,5,4,0
"626","resp626","dame",1986,"post-secondary non-tertiary education","protestant",10,10,8,0
"627","resp627","dame",1987,"(upper) secondary education","protestant",10,8,5,0
"628","resp628","dame",1981,"(upper) secondary education","protestant",10,7,10,1
"629","resp629","dame",1975,"first stage of tertiary education","protestant",10,10,7,3
"630","resp630","dame",1982,"first stage of tertiary education","ingen religion",10,8,10,0
"631","resp631","dame",1982,"lower secondary or second stage of basic education","muslim",1,1,1,1
"632","resp632","dame",1980,"(upper) secondary education","protestant",10,5,5,0
"633","resp633","dame",1981,"first stage of tertiary education","ingen religion",10,10,8,0
"634","resp634","dame",1976,"lower secondary or second stage of basic education","ingen religion",7,10,2,1
"635","resp635","dame",1976,"(upper) secondary education","protestant",8,9,5,2
"636","resp636","dame",1976,"(upper) secondary education","ingen religion",10,10,8,3
"637","resp637","dame",1980,"first stage of tertiary education","protestant",10,8,9,1
"638","resp638","dame",1981,"first stage of tertiary education","protestant",10,8,5,0
"639","resp639","dame",1981,"first stage of tertiary education","ingen religion",10,10,6,0
"640","resp640","dame",1981,"first stage of tertiary education","ingen religion",10,8,4,0
"641","resp641","dame",1976,"first stage of tertiary education","protestant",10,7,4,2
"642","resp642","dame",1983,"first stage of tertiary education","ingen religion",10,9,2,0
"643","resp643","dame",1978,"post-secondary non-tertiary education","ingen religion",10,10,10,0
"644","resp644","dame",1978,"lower secondary or second stage of basic education","ingen religion",10,8,7,0
"645","resp645","dame",1981,"first stage of tertiary education","buddhist",10,10,5,0
"646","resp646","dame",1976,"first stage of tertiary education","protestant",10,10,8,1
"647","resp647","dame",1981,"first stage of tertiary education","ingen religion",10,10,5,0
"648","resp648","dame",1982,"(upper) secondary education","roman catholic",9,7,1,0
"649","resp649","dame",1983,"first stage of tertiary education","ingen religion",8,5,8,2
"650","resp650","dame",1977,"first stage of tertiary education","protestant",10,10,10,4
"651","resp651","dame",1975,"first stage of tertiary education","protestant",8,7,8,2
"652","resp652","dame",1977,"first stage of tertiary education","protestant",10,10,4,0
"653","resp653","dame",1981,"(upper) secondary education","ingen religion",7,6,8,1
"654","resp654","dame",1979,"first stage of tertiary education","Other",9,7,9,1
"655","resp655","dame",1983,"first stage of tertiary education","roman catholic",7,4,2,1
"656","resp656","dame",1974,"(upper) secondary education","protestant",10,2,6,3
"657","resp657","dame",1983,"first stage of tertiary education","roman catholic",5,1,1,0
"658","resp658","dame",1975,"(upper) secondary education","protestant",10,5,8,2
"659","resp659","dame",1974,"first stage of tertiary education","protestant",10,10,7,2
"660","resp660","dame",1980,"lower secondary or second stage of basic education","ingen religion",5,5,10,0
"661","resp661","dame",1983,"first stage of tertiary education","protestant",10,9,5,0
"662","resp662","dame",1978,"(upper) secondary education","protestant",5,2,5,2
"663","resp663","dame",1980,"first stage of tertiary education","protestant",9,5,8,0
"664","resp664","dame",1983,"(upper) secondary education","protestant",9,1,10,2
"665","resp665","dame",1981,"first stage of tertiary education","roman catholic",8,1,1,1
"666","resp666","dame",1980,"first stage of tertiary education","ingen religion",8,6,3,0
"667","resp667","dame",1983,"(upper) secondary education","muslim",1,4,5,1
"668","resp668","dame",1979,"first stage of tertiary education","protestant",1,1,1,0
"669","resp669","dame",1982,"first stage of tertiary education","protestant",10,8,6,0
"670","resp670","dame",1974,"first stage of tertiary education","protestant",5,5,6,2
"671","resp671","dame",1983,"(upper) secondary education","ingen religion",5,1,3,0
"672","resp672","dame",1979,"first stage of tertiary education","protestant",10,5,5,1
"673","resp673","dame",1979,"lower secondary or second stage of basic education","ingen religion",4,2,7,3
"674","resp674","dame",1981,"first stage of tertiary education","ingen religion",10,2,2,1
"675","resp675","dame",1978,"first stage of tertiary education","protestant",10,10,10,0
"676","resp676","dame",1975,"first stage of tertiary education","ingen religion",10,2,4,2
"677","resp677","dame",1975,"first stage of tertiary education","protestant",10,5,8,3
"678","resp678","dame",1982,"first stage of tertiary education","protestant",10,10,7,0
"679","resp679","dame",1979,"first stage of tertiary education","protestant",8,9,1,2
"680","resp680","dame",1978,"lower secondary or second stage of basic education","protestant",1,1,4,1
"681","resp681","dame",1980,"first stage of tertiary education","protestant",10,5,6,0
"682","resp682","dame",1982,"(upper) secondary education","ingen religion",10,8,6,0
"683","resp683","dame",1980,"first stage of tertiary education","protestant",1,1,1,0
"684","resp684","dame",1982,"first stage of tertiary education","protestant",9,2,2,0
"685","resp685","dame",1983,"first stage of tertiary education","protestant",10,5,2,0
"686","resp686","dame",1982,"lower secondary or second stage of basic education","protestant",9,7,3,1
"687","resp687","dame",1977,"first stage of tertiary education","protestant",10,5,8,2
"688","resp688","dame",1978,"first stage of tertiary education","protestant",10,3,2,3
"689","resp689","dame",1976,"first stage of tertiary education","protestant",8,7,5,3
"690","resp690","dame",1975,"lower secondary or second stage of basic education","protestant",5,1,1,2
"691","resp691","dame",1979,"first stage of tertiary education","roman catholic",5,3,4,3
"692","resp692","dame",1977,"lower secondary or second stage of basic education","protestant",10,4,2,3
"693","resp693","dame",1975,"(upper) secondary education","protestant",8,9,6,2
"694","resp694","dame",1982,"first stage of tertiary education","protestant",9,9,6,0
"695","resp695","dame",1978,"(upper) secondary education","Other",1,1,1,2
"696","resp696","dame",1976,"first stage of tertiary education","protestant",6,2,7,1
"697","resp697","dame",1976,"(upper) secondary education","protestant",10,8,8,2
"698","resp698","dame",1983,"first stage of tertiary education","protestant",10,7,10,0
"699","resp699","dame",1976,"first stage of tertiary education","protestant",10,10,5,2
"700","resp700","dame",1981,"lower secondary or second stage of basic education","roman catholic",8,10,5,0
"701","resp701","dame",1982,"first stage of tertiary education","protestant",10,8,5,0
"702","resp702","dame",1982,"first stage of tertiary education","protestant",6,5,5,0
"703","resp703","dame",1977,"first stage of tertiary education","protestant",10,9,3,2
"704","resp704","dame",1975,"first stage of tertiary education","protestant",9,1,2,3
"705","resp705","dame",1978,"first stage of tertiary education","ingen religion",9,1,4,0
"706","resp706","dame",1979,"first stage of tertiary education","Orthodox",9,5,5,1
"707","resp707","dame",1977,"first stage of tertiary education","protestant",10,10,8,2
"708","resp708","dame",1968,"lower secondary or second stage of basic education","protestant",10,6,6,2
"709","resp709","dame",1966,"first stage of tertiary education","protestant",10,7,6,2
"710","resp710","dame",1966,"lower secondary or second stage of basic education","Other",3,1,1,3
"711","resp711","dame",1968,"(upper) secondary education","protestant",7,5,10,1
"712","resp712","dame",1964,"post-secondary non-tertiary education","ingen religion",10,5,8,2
"713","resp713","dame",1968,"post-secondary non-tertiary education","protestant",10,10,6,1
"714","resp714","dame",1973,"lower secondary or second stage of basic education","buddhist",NA,NA,NA,3
"715","resp715","dame",1965,"post-secondary non-tertiary education","protestant",10,10,10,2
"716","resp716","dame",1973,"lower secondary or second stage of basic education","protestant",1,9,9,2
"717","resp717","dame",1969,"post-secondary non-tertiary education","protestant",10,10,10,2
"718","resp718","dame",1972,"first stage of tertiary education","ingen religion",10,10,9,0
"719","resp719","dame",1972,"first stage of tertiary education","ingen religion",10,9,9,2
"720","resp720","dame",1971,"first stage of tertiary education","protestant",10,5,3,3
"721","resp721","dame",1966,"first stage of tertiary education","protestant",9,5,2,2
"722","resp722","dame",1966,"first stage of tertiary education","ingen religion",10,9,9,2
"723","resp723","dame",1973,"first stage of tertiary education","protestant",10,5,5,2
"724","resp724","dame",1973,"first stage of tertiary education","roman catholic",5,5,9,0
"725","resp725","dame",1965,"lower secondary or second stage of basic education","ingen religion",4,9,10,2
"726","resp726","dame",1967,"(upper) secondary education","protestant",10,8,4,2
"727","resp727","dame",1967,"(upper) secondary education","protestant",10,8,3,2
"728","resp728","dame",1972,"(upper) secondary education","protestant",10,8,8,3
"729","resp729","dame",1971,"first stage of tertiary education","protestant",10,7,5,0
"730","resp730","dame",1965,"first stage of tertiary education","protestant",9,9,9,2
"731","resp731","dame",1964,"first stage of tertiary education","ingen religion",10,9,8,3
"732","resp732","dame",1970,"first stage of tertiary education","protestant",10,8,7,2
"733","resp733","dame",1969,"first stage of tertiary education","protestant",10,4,8,0
"734","resp734","dame",1972,"first stage of tertiary education","ingen religion",10,8,5,2
"735","resp735","dame",1973,"first stage of tertiary education","protestant",10,10,6,0
"736","resp736","dame",1966,"first stage of tertiary education","protestant",10,8,5,3
"737","resp737","dame",1970,"second stage of tertiary education","protestant",10,8,1,3
