"wage76","grade76","black","south76","momdad14","sinmom14","daded","momed","famed","age76","col4","exp76"
1.6563,12,0,0,0,1,9.9372,10,1,29,0,11
2.098,13,0,0,1,0,9,12,4,28,0,9
NA,NA,0,NA,0,0,9.9372,10.251,1,32,0,NA
2.0149,12,0,0,0,0,11,12,4,28,0,10
1.6582,17,0,0,1,0,9,10,3,24,0,1
2.4204,12,0,0,1,0,8,12,4,32,0,14
NA,NA,0,NA,1,0,9.9372,12,6,30,0,NA
1.8326,12,0,0,1,0,8,9,2,28,0,10
1.9671,14,0,0,1,0,12,12,7,25,0,5
1.7766,12,0,0,1,0,8,12,4,31,0,13
NA,14,0,0,1,0,12,14,8,25,0,5
1.3962,17,0,0,1,0,12,12,7,27,0,4
NA,NA,0,NA,1,0,8,11,2,28,0,NA
1.9095,12,0,0,1,0,10,12,4,28,1,10
1.4907,12,0,0,1,0,10,12,4,25,1,7
1.5851,12,0,0,1,0,10,12,4,24,1,6
1.9387,9,0,0,1,0,10,6,2,34,1,19
1.9459,12,0,1,1,0,10,12,4,25,1,7
1.1787,12,0,1,1,0,7,10,2,24,1,6
1.7156,9,0,0,1,0,12,11,5,25,1,10
NA,12,0,0,0,1,12,12,7,25,1,7
1.1787,12,0,0,1,0,8,12,4,26,1,8
1.8991,13,0,0,1,0,15,16,9,26,1,7
3.1797,18,0,0,1,0,18,16,9,31,1,7
2.0255,16,0,0,1,0,12,14,8,25,1,3
2.2885,16,0,0,1,0,12,12,7,34,1,12
1.7527,12,0,0,1,0,12,12,7,25,1,7
NA,NA,0,NA,1,0,12,14,8,28,1,NA
1.0508,17,0,0,1,0,12,12,7,29,1,6
NA,NA,0,NA,1,0,14,10.251,5,28,1,NA
0.8372,14,0,1,1,0,18,16,9,28,1,8
1.6351,12,0,0,1,0,7,10,2,25,1,7
1.8165,15,0,0,1,0,9,10,3,28,1,7
1.9459,15,0,0,1,0,9,10,3,25,1,4
NA,NA,0,NA,1,0,5,7,2,31,1,NA
NA,12,0,0,1,0,5,5,2,25,1,7
1.9657,18,0,0,1,0,12,7,5,33,1,9
2.2072,NA,0,0,1,0,7,6,2,32,1,NA
1.9473,9,0,0,1,0,8,8,2,30,1,15
1.5304,12,1,0,1,0,7,9,2,24,1,6
NA,NA,0,NA,1,0,13,14,9,26,1,NA
2.161,18,0,0,1,0,8,9,2,28,1,4
1.7156,NA,0,0,1,0,12,7,5,31,1,NA
2.2159,16,0,0,1,0,9,10,3,29,1,7
2.3656,12,0,0,1,0,12,12,7,27,1,9
1.3863,12,0,1,1,0,12,12,7,29,1,11
1.8563,12,0,0,1,0,12,12,7,27,1,9
1.0473,13,0,0,1,0,8,8,2,24,1,5
NA,NA,0,NA,0,1,9.9372,10,1,28,1,NA
NA,NA,0,NA,1,0,6,8,2,32,1,NA
1.8579,17,0,1,1,0,12,12,7,27,1,4
NA,16,0,0,1,0,9,8,2,27,1,5
NA,12,0,0,1,0,8,8,2,30,1,12
NA,NA,1,NA,1,0,8,12,4,26,1,NA
NA,NA,1,NA,1,0,9.9372,10.251,1,31,1,NA
NA,NA,1,NA,1,0,9.9372,9,1,33,1,NA
NA,NA,1,NA,0,1,9.9372,10,1,24,1,NA
NA,NA,1,NA,0,1,9.9372,12,6,31,1,NA
NA,NA,1,NA,0,1,9.9372,5,1,27,1,NA
NA,NA,1,NA,0,1,9.9372,12,6,31,1,NA
1.3584,13,0,0,1,0,9.9372,4,1,32,1,13
2.3125,12,0,0,1,0,12,10,5,25,1,7
NA,NA,0,NA,1,0,12,12,7,25,1,NA
2.1005,12,0,0,1,0,8,12,4,24,1,6
2.2773,17,0,0,1,0,10,9,3,27,1,4
NA,NA,1,NA,0,0,9.9372,10.251,1,33,1,NA
2.0149,12,1,0,1,0,6,7,2,29,1,11
NA,NA,1,NA,1,0,11,12,4,27,1,NA
NA,NA,0,NA,0,1,9.9372,10.251,1,34,1,NA
1.5326,15,0,0,1,0,7,8,2,24,1,3
2.6297,12,0,0,1,0,12,10.251,5,28,1,10
1.7527,12,0,0,1,0,12,10.251,5,25,1,7
NA,NA,0,NA,1,0,9.9372,0,1,29,1,NA
NA,NA,0,NA,1,0,12,9,5,26,1,NA
1.3888,12,0,0,1,0,11,9,3,27,1,9
1.1632,10,0,0,1,0,11,9,3,26,1,10
NA,11,1,0,0,0,8,9,2,27,1,10
NA,12,1,0,0,0,9.9372,10.251,1,25,1,7
NA,NA,1,NA,0,1,9.9372,9,1,24,1,NA
NA,NA,1,NA,0,1,9.9372,6,1,28,1,NA
1.6371,12,0,0,1,0,14,12,8,27,1,9
0.7324,11,0,0,1,0,14,12,8,25,1,8
2.4782,17,0,0,1,0,8,6,2,27,1,4
1.8326,14,0,0,1,0,7,6,2,26,1,6
1.5707,17,0,0,1,0,7,7,2,34,1,11
NA,12,0,0,1,0,7,7,2,26,1,8
NA,NA,0,NA,1,0,8,8,2,33,1,NA
1.9657,13,0,0,1,0,12,12,7,27,1,8
NA,NA,0,NA,1,0,12,12,7,27,1,NA
1.8326,11,0,0,1,0,1,4,2,27,1,10
1.7102,12,0,0,1,0,9.9372,7,1,30,1,12
1.7561,12,0,0,1,0,5,2,2,34,1,16
2.1294,18,0,0,1,0,12,16,8,28,1,4
2.9565,18,0,0,1,0,12,12,7,33,1,9
2.2127,18,0,0,1,0,4,7,2,30,1,6
NA,NA,0,NA,1,0,6,8,2,28,1,NA
NA,NA,0,NA,1,0,6,8,2,27,1,NA
2.0869,16,0,0,1,0,13,10,5,26,1,4
NA,NA,1,NA,1,0,3,8,2,26,1,NA
NA,NA,1,NA,0,1,9.9372,10.251,1,33,1,NA
1.2355,12,1,0,0,1,9.9372,6,1,29,1,11
NA,NA,1,NA,0,1,9.9372,12,6,32,1,NA
NA,NA,1,NA,1,0,9.9372,10.251,1,34,1,NA
NA,NA,1,NA,0,0,9.9372,10.251,1,28,1,NA
2.2638,12,0,0,1,0,11,14,4,32,1,14
NA,11,1,0,0,1,9.9372,9,1,26,1,9
NA,NA,1,NA,1,0,12,10.251,5,24,1,NA
NA,NA,0,NA,1,0,9.9372,10.251,1,34,1,NA
NA,11,0,0,1,0,9.9372,10.251,1,31,1,14
NA,NA,0,NA,1,0,9.9372,10.251,1,32,1,NA
NA,9,1,0,0,0,9.9372,10.251,1,34,1,19
1.7918,12,0,0,1,0,10,10,3,32,1,14
NA,12,0,0,1,0,7,12,4,30,1,12
NA,NA,0,NA,1,0,12,12,7,30,1,NA
2.1247,18,0,0,1,0,12,10,5,34,1,10
1.8326,16,0,0,0,0,9.9372,10.251,1,24,1,2
1.7281,16,0,0,1,0,9.9372,10.251,1,28,1,6
2.6462,16,0,0,1,0,10,10,3,28,1,6
1.5686,12,0,0,1,0,9.9372,12,6,25,1,7
NA,12,0,0,1,0,7,8,2,28,1,10
1.7918,12,0,0,1,0,7,8,2,24,1,6
NA,NA,1,NA,1,0,7,7,2,34,1,NA
1.0986,9,0,0,0,1,9.9372,0,1,28,1,13
1.6194,9,0,0,0,1,9.9372,0,1,25,1,10
NA,NA,1,NA,0,1,9.9372,10,1,24,1,NA
1.4279,14,1,0,1,0,7,12,4,25,1,5
1.0986,12,1,0,1,0,7,12,4,24,1,6
2.1576,18,0,0,1,0,14,14,9,27,1,3
1.0986,16,0,0,1,0,16,13,9,25,1,3
NA,18,0,0,0,0,12,13,8,29,1,5
NA,NA,0,NA,1,0,12,14,8,24,1,NA
1.6094,14,0,0,1,0,14,12,8,27,1,7
1.3218,16,0,0,1,0,14,12,8,24,1,2
NA,NA,0,NA,1,0,5,5,2,34,1,NA
1.9755,12,0,0,1,0,9,6,2,32,1,14
NA,NA,0,NA,1,0,8,10,2,25,1,NA
NA,16,0,0,1,0,13,11,5,28,1,6
NA,12,0,0,1,0,12,12,7,34,1,16
NA,NA,0,NA,1,0,11,10,3,27,1,NA
2.1471,12,0,0,1,0,8,10.251,1,34,1,16
1.9988,10,0,0,1,0,10,7,2,30,1,14
NA,NA,0,NA,1,0,8,8,2,29,1,NA
NA,NA,1,NA,1,0,12,16,8,26,1,NA
2.359,17,1,0,0,0,15,12,8,31,1,8
NA,NA,1,NA,1,0,12,12,7,26,1,NA
NA,NA,0,NA,0,0,9.9372,10.251,1,33,1,NA
1.6658,12,1,0,1,0,6,8,2,32,1,14
1.744,11,0,0,0,0,6,10.251,1,34,1,17
2.0857,12,0,0,1,0,9.9372,9,1,32,1,14
NA,NA,0,NA,1,0,9.9372,10.251,1,34,1,NA
1.3863,10,0,0,1,0,6,8,2,30,1,14
2.2638,18,0,0,1,0,12,16,8,29,1,5
2.1005,18,0,0,1,0,13,16,9,27,1,3
2.0015,13,0,0,1,0,14,12,8,28,1,9
1.9755,18,0,0,1,0,12,12,7,30,1,6
1.9344,18,0,0,1,0,18,13,9,27,1,3
NA,NA,0,NA,1,0,9,12,4,24,1,NA
2.2116,18,0,0,1,0,16,16,9,24,1,0
NA,NA,0,NA,1,0,6,10.251,1,33,1,NA
NA,15,0,0,1,0,12,12,7,26,1,5
NA,NA,0,NA,1,0,6,9,2,32,1,NA
1.3324,17,0,0,1,0,8,12,4,27,1,4
1.2528,14,0,0,0,0,8,12,4,26,1,6
NA,NA,1,NA,1,0,9.9372,11,1,34,1,NA
NA,NA,0,NA,0,1,9.9372,11,1,28,1,NA
NA,NA,0,NA,1,0,7,12,4,25,1,NA
1.9373,11,0,0,1,0,8,8,2,33,1,16
NA,12,0,0,1,0,8,8,2,33,1,15
2.3165,12,0,1,1,0,9.9372,12,6,32,1,14
NA,16,0,0,1,0,13,18,9,34,1,12
2.4301,18,0,0,1,0,16,16,9,34,1,10
NA,NA,0,NA,0,0,16,16,9,31,1,NA
2.8385,18,0,0,1,0,16,16,9,30,1,6
NA,NA,1,NA,0,0,9.9372,9,1,28,1,NA
1.6658,12,0,0,1,0,12,8,5,26,1,8
1.9066,17,1,0,1,0,12,16,8,32,1,9
2.3125,17,0,0,1,0,16,13,9,28,1,5
NA,NA,0,NA,1,0,16,13,9,25,1,NA
2.1353,18,0,0,1,0,17,12,8,28,1,4
1.9601,11,0,0,1,0,12,12,7,27,1,10
2.1041,16,0,0,1,0,12,13,8,26,1,4
1.4974,12,0,0,1,0,12,13,8,24,1,6
NA,NA,0,NA,1,0,4,8,2,33,1,NA
1.839,17,0,0,1,0,8,12,4,29,1,6
1.6094,15,0,0,1,0,9,10,3,25,1,4
2.3504,16,0,0,1,0,12,12,7,31,1,9
2.4866,18,0,0,1,0,16,12,8,29,1,5
NA,NA,0,NA,1,0,12,10,5,31,1,NA
1.9315,12,0,0,1,0,8,10.251,1,33,1,15
NA,NA,0,NA,1,0,11,10,3,26,1,NA
2.0554,18,0,0,1,0,8,10,2,29,1,5
1.8687,16,0,0,1,0,8,10,2,28,1,6
NA,NA,0,NA,1,0,11,6,2,25,1,NA
NA,11,0,0,1,0,9,10,3,24,1,7
2.1691,13,0,0,1,0,12,12,7,30,1,11
NA,NA,1,NA,0,1,9.9372,12,6,27,1,NA
NA,NA,1,NA,0,1,9.9372,12,6,25,1,NA
NA,NA,1,NA,0,1,9.9372,12,6,29,1,NA
NA,NA,1,NA,0,1,9.9372,10.251,1,33,1,NA
NA,NA,0,NA,0,0,9.9372,10.251,1,28,1,NA
NA,NA,0,NA,1,0,12,12,7,32,1,NA
NA,NA,0,NA,1,0,12,10,5,29,1,NA
1.7011,17,0,0,1,0,12,12,7,25,1,2
1.7918,7,0,0,1,0,8,9,2,28,1,15
3.1108,15,0,0,1,0,12,8,5,34,1,13
2.6686,12,0,0,1,0,12,8,5,31,1,13
NA,NA,1,NA,1,0,9,8,2,31,1,NA
1.1632,12,1,0,0,0,9.9372,10.251,1,34,1,16
2.5353,18,0,0,1,0,10,16,4,33,1,9
1.7918,12,0,0,0,0,11,9,3,24,1,6
1.0986,11,1,0,1,0,9.9372,10,1,26,1,9
1.2528,10,1,0,0,1,9.9372,10,1,25,1,9
NA,NA,1,NA,1,0,7,7,2,26,1,NA
1.6827,16,0,0,1,0,12,12,7,24,1,2
2.0069,12,0,0,1,0,11,10.251,1,33,1,15
NA,NA,0,NA,1,0,7,7,2,33,1,NA
2.1353,12,0,0,0,1,9.9372,12,6,33,1,15
NA,NA,0,NA,1,0,12,12,7,30,1,NA
2.0956,16,0,0,1,0,12,12,7,29,1,7
NA,NA,0,NA,1,0,9.9372,8,1,32,1,NA
2.3026,12,0,0,1,0,9.9372,8,1,28,1,10
NA,NA,0,NA,1,0,12,12,7,34,1,NA
NA,NA,0,NA,1,0,12,16,8,34,1,NA
NA,NA,0,NA,1,0,9,9,3,32,1,NA
2.1905,15,0,0,1,0,10,12,4,29,1,8
NA,NA,0,NA,1,0,12,12,7,24,1,NA
1.7246,16,0,0,1,0,12,15,8,26,1,4
NA,17,0,0,0,1,9.9372,18,6,33,1,10
1.0473,18,0,0,1,0,18,18,9,26,1,2
NA,17,0,0,1,0,18,18,9,24,1,1
NA,16,0,0,1,0,12,12,7,28,1,6
1.4748,16,0,0,1,0,16,12,8,27,1,5
1.1787,13,0,0,1,0,12,12,7,25,1,6
1.7579,16,0,0,1,0,10,12,4,28,1,6
1.7716,16,1,0,1,0,12,12,7,26,1,4
NA,NA,1,NA,1,0,12,12,7,27,1,NA
NA,NA,1,NA,0,0,9,10.251,1,27,1,NA
NA,NA,0,NA,1,0,16,14,9,31,1,NA
NA,NA,0,NA,1,0,16,14,9,29,1,NA
NA,NA,0,NA,1,0,12,12,7,33,1,NA
NA,NA,0,NA,1,0,16,16,9,26,1,NA
2.0807,18,0,0,1,0,14,12,8,29,1,5
NA,18,0,0,1,0,13,13,9,31,1,7
NA,18,0,0,1,0,12,12,7,28,1,4
NA,NA,0,NA,1,0,12,11,5,29,1,NA
NA,NA,0,NA,1,0,8,12,4,32,1,NA
1.1378,14,0,0,1,0,8,10,2,25,1,5
NA,NA,1,NA,1,0,9.9372,10.251,1,26,1,NA
0.9163,12,1,0,0,0,4,11,2,29,1,11
1.6094,15,1,0,0,0,4,11,2,27,1,6
2.0149,12,1,0,0,1,9.9372,12,6,33,1,15
1.2326,13,0,1,1,0,11,11,3,31,1,12
0.9163,15,0,0,1,0,11,11,3,28,1,7
1.9459,16,0,0,1,0,12,10,5,24,1,2
NA,NA,0,NA,1,0,8,8,2,28,1,NA
1.3863,12,0,0,1,0,8,8,2,25,1,7
1.7138,17,0,0,1,0,14,12,8,27,1,4
1.9445,15,0,0,1,0,12,12,7,28,1,7
2.9565,14,0,0,1,0,12,12,7,24,1,4
NA,NA,0,NA,1,0,18,12,8,24,1,NA
NA,NA,0,NA,0,1,9.9372,7,1,27,1,NA
2.4982,18,0,0,1,0,9.9372,10,1,32,1,8
1.8165,16,0,0,1,0,12,12,7,29,1,7
2.0082,14,0,0,1,0,12,12,7,25,1,5
1.5217,16,0,0,1,0,18,14,9,24,1,2
2.8611,18,0,0,1,0,5,12,4,33,1,9
1.8672,18,0,0,1,0,16,10,5,25,1,1
2.0082,12,0,0,1,0,8,12,4,25,1,7
NA,NA,0,NA,1,0,12,14,8,24,1,NA
2.098,16,0,1,1,0,17,12,8,25,1,3
NA,NA,0,NA,1,0,14,12,8,28,1,NA
2.1576,16,0,0,1,0,13,10,5,31,1,9
1.6901,12,0,0,1,0,7,8,2,28,1,10
1.2947,13,0,0,1,0,18,12,8,27,1,8
1.4279,10,0,0,1,0,18,12,8,24,1,8
1.8825,16,0,0,0,1,9.9372,12,6,27,1,5
1.6658,15,0,0,0,1,9.9372,12,6,26,1,5
2.1412,17,0,0,1,0,8,12,4,29,1,6
1.8916,12,0,0,1,0,12,9,5,25,1,7
NA,NA,0,NA,1,0,4,12,4,33,1,NA
1.6658,16,0,0,1,0,12,12,7,24,1,2
NA,NA,0,NA,1,0,16,12,8,27,1,NA
NA,16,0,0,1,0,9,12,4,29,1,7
2.1849,18,0,0,1,0,9,12,4,28,1,4
2.1576,17,0,1,1,0,9.9372,12,6,28,1,5
0.8372,18,0,1,1,0,18,12,8,26,1,2
1.8703,16,0,0,1,0,18,16,9,32,1,10
NA,NA,0,NA,1,0,12,12,7,27,1,NA
NA,NA,0,NA,0,1,9.9372,10.251,1,31,1,NA
2.1587,12,0,0,1,0,12,7,5,24,1,6
2.0819,12,0,1,1,0,10,9,3,32,1,14
1.6734,13,0,0,1,0,12,12,7,27,1,8
NA,NA,0,NA,0,1,9.9372,7,1,27,1,NA
NA,13,1,0,1,0,12,10,5,26,1,7
NA,NA,1,NA,0,1,9.9372,11,1,34,1,NA
NA,NA,1,NA,1,0,9,11,3,33,1,NA
NA,NA,1,NA,0,1,9.9372,11,1,25,1,NA
2.0477,15,1,0,1,0,12,14,8,25,1,4
1.5602,14,1,0,1,0,12,14,8,24,1,4
2.1576,16,0,0,1,0,16,10.251,5,33,1,11
2.3165,16,0,0,1,0,10,12,4,28,1,6
1.8579,18,0,0,1,0,16,16,9,32,1,8
1.203,16,0,0,1,0,10,10,3,24,1,2
1.7156,11,1,0,1,0,8,9,2,34,1,17
1.6639,18,0,0,1,0,8,12,4,26,1,2
NA,NA,0,NA,1,0,8,5,2,28,1,NA
1.8485,12,0,0,1,0,12,12,7,26,1,8
NA,NA,0,NA,1,0,17,12,8,24,1,NA
1.6094,11,1,1,0,0,3,10.251,1,27,1,10
2.4458,16,1,0,1,0,9.9372,12,6,34,1,12
NA,NA,1,NA,0,1,9.9372,6,1,28,1,NA
NA,NA,1,NA,1,0,9.9372,10.251,1,33,1,NA
2.1459,18,0,0,1,0,9.9372,10.251,1,26,1,2
1.5665,12,0,0,1,0,16,12,8,28,1,10
2.1005,18,0,1,1,0,12,11,5,25,1,1
1.9344,18,0,0,1,0,18,12,8,29,1,5
2.2915,16,0,0,1,0,12,8,5,33,1,11
1.4974,16,0,1,1,0,9.9372,12,6,31,1,9
2.3046,18,0,0,1,0,16,12,8,34,1,10
2.5185,18,0,0,1,0,12,12,7,34,1,10
2.2203,14,0,0,0,0,9.9372,12,6,32,1,12
1.7422,12,0,0,1,0,7,8,2,28,1,10
NA,NA,0,NA,1,0,9,9,3,30,1,NA
1.6582,12,0,0,1,0,6,11,2,31,1,13
NA,NA,1,NA,0,1,9.9372,11,1,26,1,NA
NA,NA,1,NA,0,1,9.9372,11,1,24,1,NA
2.4458,12,0,0,1,0,8,12,4,28,1,10
NA,13,0,0,1,0,8,12,4,24,1,5
NA,NA,0,NA,1,0,12,12,7,24,1,NA
NA,NA,0,NA,1,0,8,10,2,26,1,NA
NA,NA,0,NA,1,0,8,10,2,24,1,NA
1.5686,12,1,0,1,0,5,10,2,24,1,6
NA,NA,1,NA,1,0,9.9372,12,6,34,1,NA
NA,11,0,0,1,0,11,10,3,24,1,7
NA,11,0,0,0,0,10,10.251,1,27,1,10
2.127,11,0,0,0,1,9.9372,10,1,24,1,7
NA,12,0,0,1,0,8,12,4,24,1,6
2.6405,14,0,0,1,0,10,10,3,33,1,13
NA,16,0,0,1,0,11,11,3,28,1,6
1.3863,13,1,0,1,0,9.9372,10.251,1,27,1,8
1.9601,12,0,0,1,0,12,8,5,33,1,15
NA,15,0,0,1,0,18,13,9,27,1,6
NA,NA,0,NA,1,0,18,13,9,25,1,NA
NA,NA,0,NA,1,0,10,12,4,29,1,NA
1.8485,14,0,0,1,0,10,12,4,24,1,4
1.3558,13,0,0,1,0,11,12,4,26,1,7
1.9286,12,0,0,1,0,8,10,2,26,1,8
NA,12,0,0,0,1,9.9372,8,1,29,1,11
NA,10,0,0,0,1,9.9372,10,1,33,1,17
1.8405,12,0,0,1,0,9.9372,10.251,1,34,1,16
2.3456,15,0,0,1,0,12,8,5,34,1,13
1.7783,14,0,0,1,0,10,8,2,25,1,5
NA,NA,0,NA,1,0,10,12,4,26,1,NA
NA,NA,0,NA,1,0,8,7,2,28,1,NA
NA,NA,0,NA,1,0,10,10,3,28,1,NA
NA,NA,0,NA,1,0,16,14,9,29,1,NA
1.7527,12,0,0,0,1,9.9372,12,6,24,1,6
1.3218,NA,1,0,0,0,9.9372,8,1,33,1,NA
NA,16,0,0,1,0,12,12,7,26,1,4
NA,NA,0,NA,1,0,12,12,7,28,1,NA
NA,NA,0,NA,1,0,9.9372,12,6,28,1,NA
1.6094,12,0,0,0,1,9.9372,12,6,25,1,7
2.0554,12,0,0,0,1,9.9372,12,6,34,1,16
1.7527,13,0,0,1,0,12,11,5,26,1,7
1.6582,13,0,0,1,0,12,11,5,25,1,6
NA,18,0,0,1,0,16,18,9,29,1,5
1.3481,17,0,0,1,0,12,12,7,28,1,5
NA,NA,0,NA,1,0,16,14,9,29,1,NA
NA,NA,0,NA,1,0,12,10,5,28,1,NA
1.8326,12,0,0,1,0,8,10.251,1,29,1,11
1.8326,16,0,0,1,0,11,11,3,28,1,6
1.5581,13,0,0,1,0,10,12,4,26,1,7
NA,12,0,0,0,0,9.9372,10.251,1,32,1,14
NA,NA,0,NA,1,0,16,16,9,24,1,NA
1.8856,14,0,0,1,0,12,12,7,25,1,5
1.4469,16,0,0,1,0,12,12,7,24,1,2
NA,NA,0,NA,1,0,10,11,3,29,1,NA
1.6563,14,0,0,1,0,10,11,3,25,1,5
1.8326,12,0,0,1,0,10,10,3,26,0,8
2.3125,16,0,0,1,0,9,12,4,31,0,9
1.7934,12,0,0,1,0,9,12,4,26,0,8
2.0894,12,0,0,0,0,9.9372,11,1,27,0,9
1.4493,12,0,0,1,0,7,7,2,28,0,10
NA,12,0,0,1,0,7,7,2,27,0,9
2.3609,12,0,0,1,0,5,11,2,30,0,12
1.4207,12,0,0,1,0,5,11,2,26,0,8
1.5933,12,0,0,0,1,9.9372,7,1,30,0,12
1.1787,12,0,0,0,1,9.9372,7,1,27,0,9
1.0116,12,0,0,1,0,12,7,5,28,0,10
NA,12,0,0,1,0,9,10,3,34,0,16
1.0682,12,0,0,1,0,8,12,4,25,0,7
1.9892,18,0,1,0,0,16,10.251,5,31,0,7
1.5851,14,0,1,1,0,12,12,7,26,0,6
1.2149,14,0,0,1,0,12,12,7,24,0,4
1.981,12,0,0,1,0,12,12,7,27,0,9
NA,NA,0,NA,1,0,12,12,7,26,0,NA
1.4816,13,0,0,1,0,12,12,7,25,0,6
NA,NA,0,NA,1,0,8,8,2,33,0,NA
1.8579,16,0,0,1,0,8,8,2,27,0,5
1.3218,12,0,0,1,0,8,11,2,28,0,10
1.5707,12,0,0,0,0,9.9372,10.251,1,25,0,7
2.2246,14,0,0,1,0,10,8,2,29,0,9
1.7246,18,0,0,1,0,12,13,8,29,0,5
1.6371,12,0,0,1,0,12,12,7,26,0,8
2.3656,12,0,0,1,0,10,10,3,33,0,15
NA,NA,0,NA,1,0,10,12,4,24,0,NA
NA,NA,0,NA,1,0,10,8,2,25,0,NA
1.8532,12,0,0,1,0,9.9372,10,1,28,0,10
2.0001,12,0,0,0,1,9,9,3,32,0,14
1.5953,12,0,0,0,0,12,8,5,26,0,8
1.8718,10,0,1,0,0,12,9,5,24,0,8
1.1249,7,0,0,1,0,5,8,2,31,0,18
1.839,16,0,0,1,0,11,9,3,30,0,8
1.4085,13,0,0,1,0,8,12,4,28,0,9
1.7918,18,0,0,1,0,9.9372,10.251,1,33,0,9
2.0082,12,0,0,1,0,11,12,4,28,0,10
1.8326,17,0,0,1,0,9.9372,10.251,1,31,0,8
NA,12,0,0,1,0,9,12,4,27,0,9
1.7029,12,0,0,1,0,12,12,7,29,0,11
1.1817,15,0,0,1,0,12,12,7,24,0,3
0.9478,9,0,0,0,0,7,10.251,1,26,0,11
NA,NA,0,NA,1,0,10,12,4,24,0,NA
NA,NA,0,NA,1,0,9,12,4,27,0,NA
2.1691,12,0,0,1,0,12,12,7,26,1,8
1.8547,12,0,0,1,0,12,12,7,25,1,7
NA,NA,0,NA,1,0,9,11,3,24,1,NA
1.8976,11,0,0,1,0,7,7,2,33,1,16
1.6174,14,0,1,1,0,12,12,7,29,1,9
1.141,17,0,1,1,0,12,12,7,25,1,2
NA,NA,0,NA,1,0,8,12,4,26,1,NA
2.3125,18,0,1,1,0,9.9372,12,6,27,1,3
2.3026,10,0,0,1,0,8,9,2,33,1,17
1.9755,16,0,0,0,1,9.9372,18,6,28,1,6
NA,NA,0,NA,1,0,11,10,3,24,1,NA
2.0605,12,0,0,1,0,8,8,2,27,1,9
1.6974,12,0,0,1,0,8,12,4,34,1,16
NA,NA,0,NA,1,0,6,8,2,31,1,NA
2.1138,12,0,0,1,0,8,8,2,25,1,7
0.4637,12,0,0,1,0,10,10,3,25,1,7
1.9459,10,0,0,1,0,10,6,2,27,1,11
1.9755,13,0,0,1,0,10,12,4,28,1,9
1.1119,12,0,0,1,0,10,12,4,24,1,6
NA,15,0,0,1,0,12,12,7,28,1,7
1.7102,16,0,0,1,0,12,16,8,25,1,3
1.6901,14,0,1,1,0,7,6,2,26,1,6
NA,12,0,0,1,0,8,9,2,25,1,7
1.6273,16,0,0,1,0,12,12,7,24,1,2
1.3481,16,0,0,1,0,12,12,7,24,1,2
2.6686,12,0,0,1,0,10,8,2,32,0,14
NA,NA,0,NA,0,1,9.9372,8,1,32,0,NA
2.1736,16,0,0,0,0,14,14,9,32,0,10
NA,NA,0,NA,1,0,16,16,9,25,0,NA
2.3026,13,0,0,1,0,16,14,9,24,0,5
2.1552,12,0,0,1,0,12,9,5,28,0,10
NA,NA,0,NA,1,0,16,12,8,34,0,NA
2.0015,12,0,0,1,0,11,12,4,27,0,9
2.1849,12,0,0,1,0,9.9372,10.251,1,34,0,16
1.5217,15,0,0,1,0,9,10,3,29,0,8
NA,12,0,0,1,0,9,12,4,27,0,9
NA,NA,0,NA,1,0,18,13,9,24,1,NA
1.5041,12,0,0,1,0,9.9372,9,1,34,1,16
NA,NA,0,NA,1,0,12,12,7,27,1,NA
1.9459,12,0,0,1,0,9.9372,10.251,1,34,1,16
NA,16,0,0,1,0,12,9,5,29,1,7
2.0069,14,0,0,1,0,8,12,4,33,1,13
NA,15,0,0,1,0,18,14,9,24,1,3
2.1849,16,0,0,1,0,12,11,5,32,1,10
NA,18,0,0,1,0,11,11,3,32,1,8
1.9344,18,0,0,1,0,12,12,7,32,1,8
NA,NA,0,NA,0,0,12,12,7,25,1,NA
1.7984,18,0,0,1,0,12,12,7,33,1,9
1.8326,18,0,0,0,1,9.9372,14,6,30,1,6
2.0096,14,0,0,1,0,8,12,4,33,1,13
1.9824,18,0,0,1,0,8,16,4,33,1,9
1.7228,12,0,0,1,0,8,10,2,30,1,12
1.4446,12,0,0,1,0,12,10,5,26,1,8
1.3863,12,0,0,0,1,9.9372,12,6,26,1,8
0.9163,14,0,0,1,0,12,12,7,26,1,6
1.8656,13,0,0,1,0,8,12,4,26,1,7
1.7884,12,0,0,1,0,12,12,7,24,1,6
2.3026,12,0,0,1,0,8,8,2,27,1,9
NA,NA,0,NA,1,0,16,12,8,24,1,NA
1.6639,12,0,0,1,0,12,13,8,28,1,10
1.5707,12,0,0,1,0,12,13,8,26,1,8
2.1401,12,0,0,1,0,6,12,4,33,1,15
1.6214,14,0,0,1,0,9.9372,10.251,1,30,1,10
1.6332,12,0,0,1,0,8,8,2,29,1,11
0.7885,11,0,0,0,0,9.9372,9,1,26,1,9
0.4318,16,0,0,0,0,9.9372,10.251,1,24,1,2
0.8755,12,0,0,1,0,11,12,4,31,1,13
1.7174,12,0,0,1,0,11,12,4,28,1,10
NA,15,0,0,1,0,8,8,2,27,1,6
NA,NA,0,NA,1,0,8,8,2,25,1,NA
NA,NA,0,NA,1,0,8,12,4,32,1,NA
NA,NA,0,NA,1,0,8,12,4,29,1,NA
1.6094,15,0,0,0,0,12,12,7,27,1,6
1.3137,16,0,0,1,0,9.9372,10.251,1,26,1,4
1.2528,10,0,0,1,0,8,8,2,25,1,9
1.7647,12,0,0,1,0,8,8,2,26,1,8
NA,NA,0,NA,1,0,9,9,3,33,1,NA
